Date,Open,High,Low,Close,Adj Close,Volume
2021-01-29,362000.000000,362000.000000,340500.000000,343000.000000,343000.000000,1607894
2021-02-01,346500.000000,352500.000000,341500.000000,348000.000000,348000.000000,988630
2021-02-02,358000.000000,373000.000000,353000.000000,362500.000000,362500.000000,1951062
2021-02-03,366500.000000,371000.000000,361000.000000,370500.000000,370500.000000,1197680
2021-02-04,368000.000000,368500.000000,356000.000000,358000.000000,358000.000000,1160116
2021-02-05,363500.000000,371500.000000,356500.000000,362500.000000,362500.000000,982325
2021-02-08,361500.000000,364500.000000,357000.000000,357500.000000,357500.000000,712484
2021-02-09,359500.000000,362000.000000,355000.000000,358500.000000,358500.000000,667655
2021-02-10,365000.000000,368500.000000,359000.000000,366500.000000,366500.000000,1147417
2021-02-15,383500.000000,388000.000000,378000.000000,385500.000000,385500.000000,1172475
2021-02-16,391500.000000,405000.000000,390000.000000,394000.000000,394000.000000,1567108
2021-02-17,396500.000000,396500.000000,386000.000000,392000.000000,392000.000000,1161595
2021-02-18,391500.000000,400000.000000,386500.000000,388000.000000,388000.000000,1020222
2021-02-19,387000.000000,398500.000000,385500.000000,398000.000000,398000.000000,1047043
2021-02-22,400000.000000,405500.000000,384500.000000,386500.000000,386500.000000,1289395
2021-02-23,379000.000000,394500.000000,378500.000000,390500.000000,390500.000000,1017577
2021-02-24,389500.000000,391500.000000,374000.000000,374000.000000,374000.000000,1078485
2021-02-25,380500.000000,384500.000000,374500.000000,383000.000000,383000.000000,757476
2021-02-26,372000.000000,378500.000000,368500.000000,375000.000000,375000.000000,1170208
2021-03-02,389000.000000,390000.000000,375500.000000,377500.000000,377500.000000,1240322
2021-03-03,379000.000000,399500.000000,377500.000000,399500.000000,399500.000000,1287551
2021-03-04,392000.000000,401000.000000,389000.000000,391500.000000,391500.000000,1585134
2021-03-05,386000.000000,386500.000000,371000.000000,377500.000000,377500.000000,1594386
2021-03-08,382000.000000,386000.000000,366500.000000,368500.000000,368500.000000,1031748
2021-03-09,366500.000000,371500.000000,350000.000000,361500.000000,361500.000000,1313900
2021-03-10,373000.000000,378000.000000,368000.000000,372000.000000,372000.000000,946917
2021-03-11,372500.000000,377500.000000,366000.000000,373500.000000,373500.000000,1024741
2021-03-12,396000.000000,396000.000000,378500.000000,380500.000000,380500.000000,969276
2021-03-15,382000.000000,385500.000000,377500.000000,383000.000000,383000.000000,609496
2021-03-16,384500.000000,389500.000000,384000.000000,385500.000000,385500.000000,574082
2021-03-17,388000.000000,391500.000000,380500.000000,383500.000000,383500.000000,1200355
2021-03-18,388500.000000,410000.000000,386500.000000,403500.000000,403500.000000,1818409
2021-03-19,397000.000000,407500.000000,395000.000000,402000.000000,402000.000000,1258199
